sleep_duration,bedtime_hour,wake_hour,caffeine_intake,exercise_duration,screen_time_before_bed,stress_level,mood_before_sleep,sleep_interruptions,sleep_score,sleep_quality
8.1,20.0,4.1,None,70.0,3.0,4,Neutral,No,95.3,Good
6.8,2.0,8.9,None,19.0,19.0,8,Anxious,No,52.0,Average
6.5,20.0,2.5,Moderate,5.0,185.0,1,Happy,No,46.4,Average
7.5,1.1,8.6,Low,26.0,89.0,3,Anxious,No,55.3,Average
5.5,1.1,6.6,Moderate,1.0,84.0,4,Sad,Yes,0.0,Poor
5.2,1.0,6.2,Low,82.0,26.0,0,Sad,No,63.7,Average
7.0,20.4,3.4,High,10.0,37.0,6,Neutral,Yes,15.4,Poor
7.5,22.1,5.7,High,7.0,25.0,2,Neutral,No,57.3,Average
5.8,2.9,8.7,Low,3.0,8.0,3,Happy,No,48.8,Average
6.0,21.5,3.5,None,72.0,152.0,5,Happy,No,50.2,Average
6.2,0.2,6.3,Low,23.0,58.0,1,Neutral,No,72.3,Good
11.6,22.6,10.2,Low,4.0,36.0,7,Happy,Yes,18.7,Poor
5.4,23.0,4.4,High,14.0,8.0,3,Neutral,No,40.9,Average
7.1,1.8,8.9,Low,31.0,82.0,2,Happy,Yes,55.3,Average
4.1,21.7,1.8,None,151.0,56.0,7,Happy,Yes,37.1,Poor
6.1,23.8,5.9,None,7.0,136.0,2,Neutral,No,47.4,Average
7.4,20.0,3.4,Moderate,10.0,11.0,5,Anxious,No,46.7,Average
6.0,20.0,2.0,Low,14.0,33.0,6,Happy,Yes,36.5,Poor
5.3,1.0,6.3,None,23.0,46.0,5,Neutral,Yes,28.6,Poor
8.3,23.3,7.6,Low,50.0,54.0,2,Neutral,Yes,67.9,Good
7.7,23.8,7.5,Moderate,65.0,9.0,8,Happy,Yes,54.7,Average
7.4,21.6,5.1,Low,16.0,126.0,10,Anxious,No,19.8,Poor
8.6,23.5,8.0,High,24.0,16.0,2,Neutral,No,75.1,Good
4.8,22.0,2.8,Moderate,5.0,95.0,7,Neutral,No,16.1,Poor
5.4,1.1,6.4,Low,48.0,2.0,2,Sad,No,54.3,Average
6.6,1.8,8.4,None,56.0,10.0,2,Sad,No,80.9,Good
4.6,0.3,4.9,High,15.0,12.0,5,Neutral,No,26.3,Poor
7.4,2.6,10.0,None,25.0,57.0,2,Anxious,No,70.6,Good
7.3,21.0,4.3,Moderate,6.0,52.0,6,Neutral,No,47.4,Average
7.1,0.7,7.8,None,31.0,31.0,7,Neutral,No,64.3,Average
6.7,22.5,5.2,Low,15.0,80.0,6,Happy,No,44.9,Average
3.0,21.0,24.0,Low,86.0,27.0,4,Neutral,Yes,44.5,Average
5.8,23.4,5.2,Low,180.0,42.0,4,Happy,No,60.7,Average
6.1,1.8,7.9,Low,1.0,38.0,3,Happy,No,45.0,Average
3.9,20.2,0.1,None,29.0,10.0,1,Anxious,No,49.4,Average
5.3,21.6,2.9,Moderate,1.0,10.0,9,Sad,Yes,0.0,Poor
7.1,0.4,7.6,None,7.0,63.0,4,Happy,Yes,49.1,Average
6.5,20.0,2.5,Low,39.0,14.0,7,Anxious,Yes,44.8,Average
5.1,20.0,1.1,Low,17.0,54.0,2,Neutral,No,59.0,Average
7.3,22.3,5.6,High,50.0,9.0,4,Neutral,No,78.7,Good
10.2,21.9,8.2,Moderate,10.0,9.0,6,Anxious,No,15.5,Poor
7.3,2.2,9.5,Moderate,11.0,48.0,2,Anxious,Yes,34.0,Poor
5.5,0.0,5.5,Low,86.0,33.0,6,Neutral,Yes,27.8,Poor
7.3,0.1,7.4,Low,10.0,30.0,3,Neutral,No,63.0,Average
10.1,21.8,8.0,None,97.0,79.0,4,Happy,Yes,39.9,Poor
10.8,3.0,13.8,None,14.0,88.0,4,Happy,No,35.8,Poor
4.7,21.5,2.2,Moderate,60.0,96.0,3,Happy,No,45.1,Average
6.9,1.6,8.5,High,7.0,47.0,6,Sad,No,27.5,Poor
6.3,23.9,6.2,High,24.0,15.0,6,Anxious,Yes,21.7,Poor
7.4,1.3,8.7,Moderate,86.0,2.0,1,Happy,No,89.7,Good
6.3,23.4,5.7,Low,62.0,2.0,7,Happy,Yes,55.4,Average
8.9,0.7,9.6,Low,2.0,23.0,2,Sad,Yes,48.8,Average
5.0,22.0,2.9,None,1.0,122.0,6,Anxious,No,17.5,Poor
10.4,21.3,7.7,Moderate,72.0,248.0,4,Neutral,No,34.4,Poor
6.5,22.9,5.5,None,12.0,21.0,2,Happy,Yes,60.1,Average
9.3,3.6,12.9,Moderate,9.0,180.0,2,Happy,No,31.8,Poor
8.8,21.7,6.5,None,25.0,16.0,9,Happy,Yes,66.5,Good
9.1,3.7,12.8,Moderate,42.0,10.0,3,Happy,Yes,58.1,Average
5.7,23.6,5.3,None,73.0,19.0,5,Anxious,No,54.3,Average
8.0,21.3,5.3,Low,3.0,32.0,10,Happy,No,52.4,Average
8.0,22.0,6.1,Low,3.0,114.0,2,Neutral,No,64.8,Average
8.0,23.8,7.8,Moderate,11.0,127.0,9,Sad,No,22.9,Poor
7.8,22.7,6.4,Moderate,40.0,58.0,7,Happy,No,71.7,Good
8.8,0.6,9.4,Moderate,6.0,102.0,2,Neutral,Yes,25.1,Poor
7.0,23.5,6.5,Low,11.0,60.0,5,Sad,Yes,34.6,Poor
6.9,22.6,5.5,None,35.0,161.0,5,Anxious,No,43.9,Average
6.5,21.9,4.3,Moderate,31.0,25.0,5,Happy,No,73.7,Good
9.3,20.5,5.9,Low,40.0,35.0,4,Anxious,No,54.4,Average
8.0,0.3,8.3,Moderate,9.0,5.0,7,Sad,Yes,27.1,Poor
9.8,21.6,7.3,High,18.0,19.0,2,Neutral,No,56.5,Average
7.1,23.7,6.8,Low,16.0,120.0,4,Anxious,Yes,38.3,Poor
7.9,1.5,9.4,None,50.0,59.0,6,Happy,No,85.7,Good
5.5,23.3,4.7,Low,5.0,69.0,4,Happy,No,33.2,Poor
8.3,3.9,12.2,None,13.0,36.0,3,Happy,No,67.6,Good
8.5,23.0,7.5,None,69.0,91.0,2,Neutral,Yes,59.2,Average
9.3,22.5,7.7,Low,29.0,1.0,7,Neutral,Yes,45.3,Average
6.7,1.8,8.5,Moderate,5.0,50.0,3,Anxious,Yes,18.9,Poor
7.1,23.2,6.3,Moderate,43.0,123.0,3,Anxious,Yes,34.9,Poor
6.7,21.7,4.4,Moderate,36.0,45.0,8,Happy,Yes,36.6,Poor
6.5,4.0,10.5,None,130.0,25.0,6,Sad,No,62.0,Average
5.6,22.5,4.1,Moderate,180.0,221.0,6,Happy,No,24.9,Poor
7.6,20.0,3.6,Low,48.0,33.0,6,Neutral,No,81.5,Good
6.8,2.0,8.8,Low,72.0,139.0,9,Happy,No,52.0,Average
6.1,23.6,5.7,None,44.0,144.0,5,Happy,No,62.1,Average
4.5,22.3,2.8,Low,72.0,35.0,4,Neutral,No,49.3,Average
5.1,20.0,1.1,High,52.0,8.0,7,Neutral,Yes,19.3,Poor
6.6,22.4,5.0,Moderate,10.0,58.0,8,Happy,Yes,33.4,Poor
7.6,23.1,6.7,None,31.0,122.0,6,Happy,Yes,50.4,Average
6.8,0.8,7.6,Low,95.0,23.0,2,Happy,Yes,70.0,Good
8.5,21.1,5.6,None,23.0,66.0,0,Happy,Yes,70.4,Good
7.4,23.3,6.7,None,21.0,122.0,3,Sad,No,60.9,Average
10.6,20.8,7.5,None,71.0,51.0,4,Anxious,No,49.1,Average
5.4,22.9,4.2,Moderate,37.0,7.0,9,Anxious,Yes,14.0,Poor
7.5,1.1,8.6,High,29.0,80.0,6,Neutral,Yes,28.7,Poor
8.1,20.8,4.9,None,20.0,102.0,6,Neutral,Yes,38.5,Poor
9.4,23.3,8.7,None,17.0,36.0,2,Neutral,Yes,53.0,Average
8.6,20.2,4.9,High,22.0,29.0,8,Neutral,No,44.6,Average
8.5,22.5,7.0,Moderate,33.0,87.0,10,Sad,No,43.2,Average
6.7,23.4,6.1,Low,4.0,40.0,6,Happy,Yes,43.4,Average
8.4,21.1,5.4,Low,44.0,19.0,1,Happy,Yes,83.3,Good
9.8,23.4,9.2,Low,4.0,50.0,5,Anxious,No,45.6,Average
7.2,24.0,7.2,Moderate,106.0,55.0,3,Anxious,Yes,37.5,Poor
8.7,22.4,7.1,None,81.0,26.0,4,Sad,Yes,72.4,Good
6.0,22.3,4.3,Low,34.0,36.0,5,Happy,No,60.7,Average
8.8,21.4,6.2,Low,28.0,16.0,9,Neutral,No,75.3,Good
9.5,20.0,5.5,None,41.0,284.0,3,Happy,No,67.8,Good
5.3,23.5,4.8,Low,15.0,4.0,3,Happy,No,57.0,Average
7.5,0.4,7.9,Low,27.0,24.0,7,Sad,No,74.1,Good
6.6,23.3,5.9,High,2.0,50.0,9,Happy,No,24.9,Poor
6.8,21.9,4.8,Moderate,49.0,26.0,2,Sad,No,58.4,Average
7.1,23.3,6.4,Moderate,65.0,44.0,6,Happy,No,72.8,Good
8.1,23.2,7.2,Low,1.0,22.0,7,Neutral,Yes,48.8,Average
5.7,23.2,4.9,Low,21.0,55.0,0,Anxious,No,47.3,Average
8.4,20.6,5.0,Moderate,71.0,98.0,4,Neutral,Yes,41.7,Average
5.4,22.9,4.4,Moderate,130.0,61.0,8,Happy,No,40.0,Average
9.1,0.0,9.1,Low,7.0,42.0,6,Happy,No,53.7,Average
4.3,2.1,6.4,None,25.0,35.0,3,Neutral,Yes,41.0,Average
6.7,21.9,4.6,None,2.0,300.0,8,Sad,No,22.3,Poor
6.4,23.9,6.3,None,4.0,71.0,3,Neutral,No,58.1,Average
8.4,22.0,6.4,None,26.0,33.0,1,Anxious,No,68.1,Good
8.8,21.9,6.7,None,46.0,88.0,4,Neutral,No,78.3,Good
4.8,21.0,1.8,High,0.0,17.0,5,Anxious,No,13.4,Poor
4.1,22.7,2.7,Low,65.0,6.0,10,Happy,Yes,44.0,Average
4.9,1.3,6.2,High,22.0,92.0,0,Anxious,No,16.0,Poor
4.6,0.5,5.1,High,64.0,2.0,3,Neutral,No,49.8,Average
9.0,22.5,7.5,None,2.0,44.0,8,Sad,No,50.8,Average
7.4,20.3,3.7,None,3.0,4.0,3,Anxious,No,57.6,Average
8.8,21.4,6.2,None,38.0,12.0,3,Happy,No,100.0,Good
7.9,23.9,7.8,None,17.0,14.0,8,Neutral,No,86.5,Good
6.0,21.3,3.3,Low,137.0,55.0,7,Sad,No,54.7,Average
7.8,22.6,6.4,Low,9.0,28.0,4,Neutral,No,69.0,Good
7.5,0.7,8.1,High,12.0,102.0,7,Anxious,No,14.9,Poor
8.8,23.8,8.6,Moderate,46.0,90.0,4,Happy,No,66.5,Good
6.2,20.0,2.2,Moderate,25.0,110.0,6,Neutral,No,39.9,Poor
9.7,22.6,8.3,Moderate,72.0,61.0,6,Happy,No,51.1,Average
6.1,23.6,5.7,Moderate,28.0,79.0,6,Happy,No,56.4,Average
4.8,2.5,7.3,High,6.0,22.0,2,Anxious,No,16.8,Poor
7.3,1.3,8.7,Moderate,17.0,32.0,7,Happy,No,59.1,Average
7.3,3.1,10.4,None,23.0,62.0,2,Neutral,No,76.9,Good
8.5,1.2,9.8,Low,11.0,105.0,6,Happy,Yes,32.4,Poor
8.4,22.8,7.3,None,25.0,35.0,6,Neutral,No,74.1,Good
9.3,22.3,7.6,Moderate,180.0,162.0,6,Neutral,No,43.3,Average
8.7,23.3,8.0,Low,17.0,51.0,4,Happy,No,71.7,Good
7.5,22.6,6.1,High,11.0,34.0,4,Anxious,Yes,25.4,Poor
5.3,21.8,3.1,Low,3.0,78.0,4,Neutral,No,31.5,Poor
5.5,21.0,2.5,High,49.0,64.0,5,Happy,Yes,11.1,Poor
7.5,23.0,6.5,Moderate,10.0,19.0,4,Neutral,No,59.2,Average
3.4,0.4,3.8,None,15.0,138.0,7,Sad,No,11.9,Poor
6.8,23.6,6.4,High,11.0,79.0,3,Happy,No,31.8,Poor
7.7,0.3,8.0,None,33.0,26.0,4,Happy,Yes,76.9,Good
8.5,21.3,5.9,Moderate,4.0,118.0,10,Happy,No,36.9,Poor
5.4,2.5,7.9,Moderate,6.0,175.0,0,Sad,No,7.5,Poor
5.9,21.7,3.6,Low,25.0,99.0,5,Happy,No,39.6,Poor
6.3,22.3,4.6,None,49.0,44.0,2,Anxious,No,70.5,Good
7.5,22.6,6.1,None,52.0,2.0,4,Neutral,No,100.0,Good
7.4,20.0,3.4,Moderate,60.0,29.0,3,Anxious,Yes,49.0,Average
7.5,24.0,7.5,Low,35.0,96.0,8,Anxious,No,45.3,Average
6.0,21.9,3.9,Low,68.0,142.0,7,Anxious,Yes,14.3,Poor
7.4,23.0,6.5,Moderate,6.0,35.0,6,Happy,No,64.0,Average
6.9,20.6,3.5,Moderate,145.0,66.0,6,Happy,No,51.2,Average
7.0,23.7,6.7,High,26.0,76.0,4,Happy,No,55.5,Average
7.3,22.8,6.1,Low,43.0,23.0,8,Anxious,No,54.5,Average
6.3,22.2,4.5,Moderate,7.0,75.0,7,Happy,Yes,12.7,Poor
9.4,23.1,8.5,Low,37.0,58.0,4,Anxious,No,59.6,Average
7.6,0.2,7.7,None,14.0,70.0,3,Happy,No,65.4,Good
8.3,1.1,9.4,Low,41.0,43.0,1,Happy,Yes,66.8,Good
8.1,22.7,6.8,High,38.0,18.0,6,Sad,No,54.7,Average
8.7,22.6,7.2,High,28.0,29.0,4,Happy,No,74.4,Good
6.3,21.1,3.5,Moderate,85.0,84.0,6,Happy,No,58.6,Average
6.2,20.0,2.2,Moderate,72.0,7.0,7,Neutral,Yes,38.5,Poor
4.6,0.9,5.5,None,12.0,82.0,6,Anxious,No,24.7,Poor
6.8,21.5,4.4,Low,55.0,2.0,4,Anxious,No,64.0,Average
7.5,23.4,6.9,High,4.0,6.0,7,Sad,No,44.9,Average
3.0,3.2,6.2,Moderate,13.0,34.0,6,Neutral,No,14.1,Poor
8.8,3.3,12.2,Low,42.0,16.0,9,Happy,No,74.1,Good
7.2,22.1,5.3,Moderate,48.0,42.0,6,Happy,Yes,43.6,Average
6.7,22.4,5.1,Low,8.0,57.0,0,Happy,No,65.3,Good
7.5,21.2,4.7,High,25.0,21.0,8,Neutral,Yes,37.7,Poor
7.2,21.6,4.7,Moderate,73.0,41.0,0,Anxious,Yes,43.3,Average
4.3,23.3,3.6,Moderate,83.0,75.0,1,Neutral,No,44.0,Average
5.9,22.7,4.7,Low,17.0,37.0,5,Happy,No,53.5,Average
6.7,23.4,6.1,Moderate,99.0,66.0,3,Neutral,No,60.7,Average
7.6,22.9,6.5,None,4.0,140.0,6,Neutral,Yes,29.9,Poor
6.8,0.7,7.5,None,30.0,3.0,0,Neutral,Yes,78.9,Good
7.7,1.8,9.5,Low,20.0,67.0,7,Neutral,No,54.1,Average
7.4,2.2,9.6,Low,87.0,34.0,5,Neutral,No,77.6,Good
5.5,1.6,7.1,None,6.0,34.0,8,Anxious,Yes,7.0,Poor
6.2,2.8,8.9,Moderate,18.0,22.0,4,Neutral,No,56.0,Average
6.9,22.8,5.8,High,1.0,42.0,2,Neutral,Yes,23.9,Poor
6.6,23.5,6.1,None,12.0,138.0,8,Anxious,Yes,7.8,Poor
4.7,0.3,5.0,None,15.0,47.0,1,Neutral,No,52.1,Average
4.3,23.1,3.4,None,11.0,13.0,3,Neutral,Yes,37.8,Poor
8.4,1.2,9.6,Moderate,5.0,35.0,0,Neutral,No,72.5,Good
5.2,23.5,4.7,Low,18.0,2.0,6,Neutral,Yes,42.0,Average
6.5,23.8,6.2,High,55.0,19.0,5,Anxious,Yes,29.2,Poor
8.7,23.5,8.2,Low,31.0,28.0,4,Happy,No,81.2,Good
11.1,0.1,11.2,Low,70.0,237.0,4,Anxious,No,27.8,Poor
6.7,22.7,5.4,Moderate,67.0,35.0,4,Anxious,Yes,37.6,Poor
10.5,21.5,8.0,Low,91.0,1.0,5,Sad,No,52.2,Average
5.5,21.9,3.5,None,57.0,20.0,1,Anxious,Yes,48.2,Average
7.8,23.7,7.5,Moderate,5.0,84.0,6,Sad,No,39.3,Poor
7.0,23.2,6.2,Low,3.0,31.0,2,Happy,Yes,46.0,Average
7.0,20.0,3.0,Low,12.0,5.0,6,Sad,No,49.7,Average
5.8,20.0,1.8,Low,57.0,159.0,2,Anxious,Yes,10.8,Poor
7.1,20.0,3.1,Moderate,32.0,27.0,5,Happy,No,79.9,Good
9.7,23.5,9.2,None,3.0,69.0,8,Sad,No,39.1,Poor
5.3,22.0,3.2,Low,52.0,19.0,5,Happy,Yes,47.7,Average
5.8,21.3,3.0,None,0.0,43.0,7,Happy,No,45.6,Average
6.6,0.7,7.3,Low,11.0,111.0,3,Sad,No,37.3,Poor
7.6,0.0,7.6,Low,3.0,70.0,4,Neutral,No,50.4,Average
7.3,0.2,7.5,Moderate,50.0,181.0,5,Happy,Yes,47.7,Average
6.8,20.2,3.0,Low,110.0,42.0,3,Neutral,Yes,44.2,Average
8.9,0.3,9.2,Moderate,66.0,14.0,4,Neutral,No,72.6,Good
4.7,2.1,6.8,Moderate,5.0,63.0,7,Neutral,No,7.0,Poor
7.3,0.5,7.8,None,12.0,28.0,4,Happy,No,77.2,Good
6.7,0.1,6.7,Low,24.0,31.0,2,Neutral,Yes,50.2,Average
10.0,0.3,10.4,Moderate,13.0,89.0,5,Neutral,No,21.4,Poor
6.5,1.0,7.4,Moderate,1.0,21.0,3,Neutral,Yes,27.8,Poor
8.0,22.8,6.8,Low,21.0,30.0,6,Happy,Yes,49.5,Average
6.7,0.1,6.8,High,2.0,190.0,9,Sad,No,2.1,Poor
6.7,20.8,3.5,None,9.0,13.0,3,Neutral,No,66.4,Good
7.7,22.5,6.2,Low,17.0,67.0,7,Neutral,No,49.5,Average
7.5,20.0,3.5,None,2.0,10.0,6,Neutral,No,67.4,Good
10.0,21.9,7.9,Moderate,3.0,19.0,5,Neutral,No,33.4,Poor
6.7,22.1,4.8,Moderate,8.0,3.0,1,Anxious,No,50.2,Average
4.6,0.1,4.7,None,20.0,54.0,6,Neutral,No,45.4,Average
7.0,0.4,7.5,None,133.0,85.0,6,Neutral,No,64.4,Average
5.6,0.2,5.8,Low,29.0,89.0,6,Happy,Yes,22.1,Poor
7.9,22.1,6.1,Moderate,9.0,23.0,1,Sad,Yes,42.9,Average
10.1,20.3,6.5,Low,4.0,20.0,4,Anxious,No,22.0,Poor
7.4,20.0,3.4,Low,106.0,52.0,5,Sad,Yes,52.5,Average
5.2,23.4,4.6,None,7.0,150.0,6,Neutral,Yes,4.4,Poor
4.7,22.6,3.3,Moderate,30.0,44.0,9,Happy,No,45.5,Average
6.8,22.3,5.1,Low,24.0,14.0,8,Happy,Yes,51.1,Average
7.0,0.4,7.4,Moderate,18.0,100.0,6,Neutral,No,57.9,Average
4.3,0.4,4.7,None,19.0,2.0,5,Sad,Yes,18.6,Poor
5.9,0.4,6.3,None,13.0,16.0,2,Sad,No,40.2,Average
8.0,22.1,6.1,Low,19.0,22.0,6,Sad,No,61.9,Average
9.2,23.8,9.0,Low,38.0,5.0,0,Sad,Yes,67.8,Good
8.0,20.0,4.0,Moderate,12.0,75.0,1,Happy,No,57.8,Average
8.6,0.7,9.3,Moderate,22.0,152.0,7,Sad,No,30.9,Poor
6.2,0.3,6.4,High,14.0,230.0,2,Sad,No,19.5,Poor
3.4,20.0,23.4,Moderate,6.0,93.0,4,Neutral,Yes,0.0,Poor
8.3,22.5,6.9,None,28.0,205.0,6,Neutral,No,60.6,Average
7.4,0.4,7.8,High,18.0,8.0,8,Happy,Yes,41.0,Average
8.6,23.1,7.7,Low,10.0,59.0,6,Anxious,No,43.6,Average
5.5,21.9,3.4,Low,15.0,58.0,2,Sad,No,36.9,Poor
5.3,20.6,2.0,High,2.0,28.0,8,Neutral,No,20.0,Poor
9.3,23.1,8.3,Low,4.0,20.0,3,Neutral,No,59.6,Average
6.7,21.3,4.0,Low,47.0,73.0,2,Neutral,No,62.2,Average
4.4,21.9,2.3,High,12.0,64.0,4,Neutral,Yes,0.0,Poor
9.5,1.4,10.9,None,37.0,19.0,8,Anxious,Yes,44.5,Average
4.6,0.1,4.7,High,11.0,55.0,7,Anxious,Yes,0.0,Poor
7.6,22.3,5.9,Low,42.0,68.0,1,Happy,No,77.4,Good
6.8,23.0,5.8,Moderate,64.0,13.0,6,Anxious,Yes,34.1,Poor
7.3,23.0,6.4,Low,86.0,34.0,4,Neutral,No,80.5,Good
9.4,21.4,6.8,None,10.0,75.0,8,Happy,No,41.2,Average
5.6,23.8,5.4,Moderate,2.0,37.0,2,Neutral,No,37.0,Poor
4.9,0.4,5.3,Moderate,34.0,81.0,5,Neutral,Yes,16.4,Poor
8.6,3.3,11.9,High,11.0,28.0,10,Sad,No,22.8,Poor
8.2,21.9,6.1,Moderate,20.0,35.0,2,Anxious,Yes,44.6,Average
6.4,23.5,5.9,None,13.0,42.0,4,Neutral,No,56.4,Average
9.6,0.6,10.2,None,11.0,10.0,2,Happy,Yes,58.3,Average
7.9,20.0,3.9,Low,4.0,20.0,7,Happy,No,67.7,Good
8.6,23.2,7.7,High,55.0,22.0,3,Anxious,Yes,34.1,Poor
6.7,23.3,6.0,None,28.0,42.0,2,Anxious,No,63.3,Average
6.4,22.2,4.6,Moderate,33.0,10.0,8,Happy,No,63.3,Average
8.5,22.4,6.9,None,25.0,11.0,7,Happy,Yes,68.8,Good
5.8,20.2,2.1,Moderate,9.0,44.0,4,Happy,Yes,12.0,Poor
8.5,23.0,7.5,Low,19.0,34.0,10,Sad,No,45.5,Average
8.5,21.2,5.7,None,35.0,46.0,4,Neutral,Yes,63.3,Average
5.5,22.9,4.4,None,17.0,136.0,6,Neutral,No,31.0,Poor
10.0,23.7,9.8,None,41.0,18.0,7,Sad,No,53.3,Average
6.9,22.8,5.7,Low,14.0,94.0,8,Happy,No,46.8,Average
6.7,0.7,7.4,None,57.0,139.0,3,Happy,No,55.7,Average
6.1,20.8,2.9,Low,16.0,98.0,5,Anxious,No,35.8,Poor
5.1,0.3,5.4,Low,2.0,28.0,1,Sad,No,37.9,Poor
6.7,1.8,8.5,Low,57.0,89.0,4,Happy,No,66.9,Good
8.1,22.1,6.2,Moderate,26.0,9.0,6,Neutral,No,65.3,Good
7.4,2.7,10.2,Low,84.0,85.0,6,Sad,No,60.0,Average
6.9,22.3,5.1,None,44.0,19.0,1,Neutral,Yes,64.4,Average
7.0,1.2,8.2,Moderate,7.0,5.0,7,Neutral,No,55.2,Average
8.4,0.2,8.6,Moderate,11.0,168.0,2,Neutral,Yes,21.5,Poor
7.7,21.1,4.8,Moderate,11.0,65.0,1,Sad,No,51.8,Average
6.3,23.2,5.5,High,11.0,2.0,4,Happy,No,50.4,Average
8.0,22.1,6.1,High,77.0,24.0,4,Anxious,No,62.8,Average
5.9,21.0,2.9,Low,3.0,300.0,5,Sad,No,9.2,Poor
6.9,1.7,8.6,Low,54.0,50.0,4,Sad,Yes,44.1,Average
8.6,22.3,6.9,Low,34.0,120.0,10,Neutral,No,64.8,Average
5.8,20.1,1.8,High,9.0,55.0,8,Anxious,Yes,0.0,Poor
8.7,20.9,5.6,None,44.0,54.0,6,Neutral,No,85.2,Good
9.9,20.6,6.5,Low,42.0,63.0,5,Happy,No,64.7,Average
6.4,2.1,8.5,None,39.0,109.0,9,Happy,No,61.1,Average
7.6,20.0,3.6,Low,113.0,46.0,6,Neutral,Yes,56.2,Average
7.2,23.4,6.6,None,31.0,26.0,6,Happy,No,89.6,Good
5.3,23.6,4.9,None,70.0,130.0,6,Sad,Yes,14.5,Poor
8.8,22.6,7.4,None,2.0,25.0,4,Anxious,No,59.6,Average
6.7,20.0,2.7,None,11.0,6.0,1,Happy,No,72.7,Good
6.1,22.1,4.2,None,12.0,16.0,7,Happy,No,64.0,Average
7.9,20.0,3.9,High,6.0,25.0,3,Happy,Yes,41.2,Average
